Name,Team,Number,Position,Age,Height,Weight,College,Salary
Steve Novak,Milwaukee Bucks,6.0,SF,32.0,2.083,102.0408163265306,Marquette,295327.0
Johnny O'Bryant III,Milwaukee Bucks,77.0,PF,23.0,2.057,116.55328798185941,LSU,845059.0
Jabari Parker,Milwaukee Bucks,12.0,PF,21.0,2.032,113.37868480725623,Duke,5152440.0
Miles Plumlee,Milwaukee Bucks,18.0,C,27.0,2.108,112.92517006802721,Duke,2109294.0
Greivis Vasquez,Milwaukee Bucks,21.0,PG,29.0,1.981,98.4126984126984,Maryland,6600000.0
Rashad Vaughn,Milwaukee Bucks,20.0,SG,19.0,1.981,91.60997732426304,UNLV,1733040.0
Justin Anderson,Dallas Mavericks,1.0,SG,22.0,1.981,103.40136054421768,Virginia,1449000.0
J.J. Barea,Dallas Mavericks,5.0,PG,31.0,1.829,83.90022675736961,Northeastern,4290000.0
Jeremy Evans,Dallas Mavericks,21.0,SF,28.0,2.057,90.70294784580499,Western Kentucky,1100602.0
Raymond Felton,Dallas Mavericks,2.0,PG,31.0,1.854,92.9705215419501,North Carolina,3950313.0
Devin Harris,Dallas Mavericks,34.0,PG,33.0,1.905,83.90022675736961,Wisconsin,4053446.0
David Lee,Dallas Mavericks,42.0,PF,33.0,2.057,111.11111111111111,Florida,2085671.0
Wesley Matthews,Dallas Mavericks,23.0,SG,29.0,1.956,99.77324263038548,Marquette,16407500.0
JaVale McGee,Dallas Mavericks,11.0,C,28.0,2.133,122.44897959183673,Nevada,1270964.0
Chandler Parsons,Dallas Mavericks,25.0,SF,27.0,2.083,104.30839002267574,Florida,15361500.0
Dwight Powell,Dallas Mavericks,7.0,PF,24.0,2.108,108.84353741496598,Stanford,845059.0
Charlie Villanueva,Dallas Mavericks,3.0,PF,31.0,2.108,105.21541950113378,Connecticut,947276.0
Deron Williams,Dallas Mavericks,8.0,PG,31.0,1.905,90.70294784580499,Illinois,5378974.0
Trevor Ariza,Houston Rockets,1.0,SF,30.0,2.032,97.50566893424036,UCLA,8193030.0
Michael Beasley,Houston Rockets,8.0,SF,27.0,2.083,106.57596371882086,Kansas State,306527.0
Patrick Beverley,Houston Rockets,2.0,PG,27.0,1.854,83.90022675736961,Arkansas,6486486.0
Corey Brewer,Houston Rockets,33.0,SG,30.0,2.057,84.35374149659863,Florida,8229375.0
Sam Dekker,Houston Rockets,7.0,SF,22.0,2.057,104.30839002267574,Wisconsin,1646400.0
Andrew Goudelock,Houston Rockets,0.0,PG,27.0,1.905,90.70294784580499,Charleston,200600.0
James Harden,Houston Rockets,13.0,SG,26.0,1.956,99.77324263038548,Arizona State,15756438.0
Montrezl Harrell,Houston Rockets,35.0,PF,22.0,2.032,108.84353741496598,Louisville,1000000.0
Terrence Jones,Houston Rockets,6.0,PF,24.0,2.057,114.28571428571428,Kentucky,2489530.0
K.J. McDaniels,Houston Rockets,32.0,SG,23.0,1.981,92.9705215419501,Clemson,3189794.0
Jason Terry,Houston Rockets,31.0,SG,38.0,1.88,83.90022675736961,Arizona,947276.0
Jordan Adams,Memphis Grizzlies,3.0,SG,21.0,1.956,94.7845804988662,UCLA,1404600.0
Tony Allen,Memphis Grizzlies,9.0,SG,34.0,1.93,96.5986394557823,Oklahoma State,5158539.0
Chris Andersen,Memphis Grizzlies,7.0,PF,37.0,2.083,111.11111111111111,Blinn College,5000000.0
Matt Barnes,Memphis Grizzlies,22.0,SF,36.0,2.007,102.49433106575964,UCLA,3542500.0
Vince Carter,Memphis Grizzlies,15.0,SG,39.0,1.981,99.77324263038548,North Carolina,4088019.0
Mike Conley,Memphis Grizzlies,11.0,PG,28.0,1.854,79.36507936507937,Ohio State,9588426.0
Bryce Cotton,Memphis Grizzlies,8.0,PG,23.0,1.854,74.82993197278911,Providence,700902.0
JaMychal Green,Memphis Grizzlies,0.0,PF,25.0,2.057,102.94784580498866,Alabama,845059.0
P.J. Hairston,Memphis Grizzlies,19.0,SF,23.0,1.981,104.30839002267574,North Carolina,1201440.0
Jarell Martin,Memphis Grizzlies,10.0,PF,22.0,2.083,108.39002267573696,LSU,1230840.0
Zach Randolph,Memphis Grizzlies,50.0,PF,34.0,2.057,117.91383219954648,Michigan State,9638555.0
Lance Stephenson,Memphis Grizzlies,1.0,SF,25.0,1.956,104.30839002267574,Cincinnati,9000000.0
Brandan Wright,Memphis Grizzlies,34.0,PF,28.0,2.083,95.23809523809524,North Carolina,5464000.0
Ryan Anderson,New Orleans Pelicans,33.0,PF,28.0,2.083,108.84353741496598,California,8500000.0
Luke Babbitt,New Orleans Pelicans,8.0,SF,26.0,2.057,102.0408163265306,Nevada,1100602.0
Norris Cole,New Orleans Pelicans,30.0,PG,27.0,1.88,79.36507936507937,Cleveland State,3036927.0
Dante Cunningham,New Orleans Pelicans,44.0,PF,29.0,2.032,104.30839002267574,Villanova,2850000.0
Anthony Davis,New Orleans Pelicans,23.0,PF,23.0,2.083,114.73922902494331,Kentucky,7070730.0
Bryce Dejean-Jones,New Orleans Pelicans,31.0,SG,23.0,1.981,92.06349206349206,Iowa State,169883.0
Toney Douglas,New Orleans Pelicans,16.0,PG,30.0,1.88,88.43537414965986,Florida State,1164858.0
James Ennis,New Orleans Pelicans,4.0,SF,25.0,2.007,95.23809523809524,Long Beach State,845059.0
Tyreke Evans,New Orleans Pelicans,1.0,SG,26.0,1.981,99.77324263038548,Memphis,10734586.0
Tim Frazier,New Orleans Pelicans,2.0,PG,25.0,1.854,77.09750566893423,Penn State,845059.0
Alonzo Gee,New Orleans Pelicans,15.0,SF,29.0,1.981,102.0408163265306,Alabama,1320000.0
Eric Gordon,New Orleans Pelicans,10.0,SG,27.0,1.93,97.50566893424036,Indiana,15514031.0
Jordan Hamilton,New Orleans Pelicans,25.0,SG,25.0,2.007,99.77324263038548,Texas,1015421.0
Jrue Holiday,New Orleans Pelicans,11.0,PG,25.0,1.93,92.9705215419501,UCLA,10595507.0
Orlando Johnson,New Orleans Pelicans,0.0,SG,27.0,1.956,99.77324263038548,UC Santa Barbara,55722.0
Quincy Pondexter,New Orleans Pelicans,20.0,SF,28.0,2.007,99.77324263038548,Washington,3382023.0
LaMarcus Aldridge,San Antonio Spurs,12.0,PF,30.0,2.108,108.84353741496598,Texas,19689000.0
Kyle Anderson,San Antonio Spurs,1.0,SF,22.0,2.057,104.30839002267574,UCLA,1142880.0
Matt Bonner,San Antonio Spurs,15.0,C,36.0,2.083,106.57596371882086,Florida,947276.0
Tim Duncan,San Antonio Spurs,21.0,C,40.0,2.108,113.37868480725623,Wake Forest,5250000.0
Danny Green,San Antonio Spurs,14.0,SG,28.0,1.981,97.50566893424036,North Carolina,10000000.0
Kawhi Leonard,San Antonio Spurs,2.0,SF,24.0,2.007,104.30839002267574,San Diego State,16407500.0
Kevin Martin,San Antonio Spurs,23.0,SG,33.0,2.007,90.24943310657596,Western Carolina,200600.0
Andre Miller,San Antonio Spurs,24.0,PG,40.0,1.905,90.70294784580499,Utah,250750.0
Patty Mills,San Antonio Spurs,8.0,PG,27.0,1.829,83.90022675736961,Saint Mary's,3578947.0
Jonathon Simmons,San Antonio Spurs,17.0,SG,26.0,1.981,88.43537414965986,Houston,525093.0
David West,San Antonio Spurs,30.0,PF,35.0,2.057,113.37868480725623,Xavier,1499187.0
Kent Bazemore,Atlanta Hawks,24.0,SF,26.0,1.956,91.156462585034,Old Dominion,2000000.0
Tim Hardaway Jr.,Atlanta Hawks,10.0,SG,24.0,1.981,92.9705215419501,Michigan,1304520.0
Kirk Hinrich,Atlanta Hawks,12.0,SG,35.0,1.93,86.16780045351473,Kansas,2854940.0
Al Horford,Atlanta Hawks,15.0,C,30.0,2.083,111.11111111111111,Florida,12000000.0
Kris Humphries,Atlanta Hawks,43.0,PF,31.0,2.057,106.57596371882086,Minnesota,1000000.0
Kyle Korver,Atlanta Hawks,26.0,SG,35.0,2.007,96.14512471655328,Creighton,5746479.0
Paul Millsap,Atlanta Hawks,4.0,PF,31.0,2.032,111.56462585034014,Louisiana Tech,18671659.0
Mike Muscala,Atlanta Hawks,31.0,PF,24.0,2.108,108.84353741496598,Bucknell,947276.0
Lamar Patterson,Atlanta Hawks,13.0,SG,24.0,1.956,102.0408163265306,Pittsburgh,525093.0
Mike Scott,Atlanta Hawks,32.0,PF,27.0,2.032,107.4829931972789,Virginia,3333333.0
Jeff Teague,Atlanta Hawks,0.0,PG,27.0,1.88,84.35374149659863,Wake Forest,8000000.0
Troy Daniels,Charlotte Hornets,30.0,SG,24.0,1.93,92.9705215419501,Virginia Commonwealth,947276.0
Jorge Gutierrez,Charlotte Hornets,12.0,PG,27.0,1.905,85.71428571428571,California,189455.0
Tyler Hansbrough,Charlotte Hornets,50.0,PF,30.0,2.057,113.37868480725623,North Carolina,947276.0
Aaron Harrison,Charlotte Hornets,9.0,SG,21.0,1.981,95.23809523809524,Kentucky,525093.0
Spencer Hawes,Charlotte Hornets,0.0,PF,28.0,2.159,111.11111111111111,Washington,6110034.0
Frank Kaminsky III,Charlotte Hornets,44.0,C,23.0,2.133,108.84353741496598,Wisconsin,2612520.0
Michael Kidd-Gilchrist,Charlotte Hornets,14.0,SF,22.0,2.007,105.21541950113378,Kentucky,6331404.0
Jeremy Lamb,Charlotte Hornets,3.0,SG,24.0,1.956,83.90022675736961,Connecticut,3034356.0
Courtney Lee,Charlotte Hornets,1.0,SG,30.0,1.956,90.70294784580499,Western Kentucky,5675000.0
Jeremy Lin,Charlotte Hornets,7.0,PG,27.0,1.905,90.70294784580499,Harvard,2139000.0
Kemba Walker,Charlotte Hornets,15.0,PG,26.0,1.854,83.44671201814059,Connecticut,12000000.0
Marvin Williams,Charlotte Hornets,2.0,PF,29.0,2.057,107.4829931972789,North Carolina,7000000.0
Cody Zeller,Charlotte Hornets,40.0,C,23.0,2.133,108.84353741496598,Indiana,4204200.0
Chris Bosh,Miami Heat,1.0,PF,32.0,2.108,106.57596371882086,Georgia Tech,22192730.0
Luol Deng,Miami Heat,9.0,SF,31.0,2.057,99.77324263038548,Duke,10151612.0
Udonis Haslem,Miami Heat,40.0,PF,36.0,2.032,106.57596371882086,Florida,2854940.0
Joe Johnson,Miami Heat,2.0,SF,34.0,2.007,108.84353741496598,Arkansas,261894.0
Tyler Johnson,Miami Heat,8.0,SG,24.0,1.93,84.35374149659863,Fresno State,845059.0
Josh McRoberts,Miami Heat,4.0,PF,29.0,2.083,108.84353741496598,Duke,5543725.0
Josh Richardson,Miami Heat,0.0,SG,22.0,1.981,90.70294784580499,Tennessee,525093.0
Dwyane Wade,Miami Heat,3.0,SG,34.0,1.93,99.77324263038548,Marquette,20000000.0
Hassan Whiteside,Miami Heat,21.0,C,26.0,2.133,120.18140589569161,Marshall,981348.0
Justise Winslow,Miami Heat,20.0,SF,20.0,2.007,102.0408163265306,Duke,2481720.0
Dewayne Dedmon,Orlando Magic,3.0,C,26.0,2.133,111.11111111111111,USC,947276.0
Aaron Gordon,Orlando Magic,0.0,PF,20.0,2.057,99.77324263038548,Arizona,4171680.0
Devyn Marble,Orlando Magic,11.0,SF,23.0,1.981,90.70294784580499,Iowa,845059.0
Shabazz Napier,Orlando Magic,13.0,PG,24.0,1.854,79.36507936507937,Connecticut,1294440.0
Andrew Nicholson,Orlando Magic,44.0,PF,26.0,2.057,113.37868480725623,St. Bonaventure,2380593.0
Victor Oladipo,Orlando Magic,5.0,SG,24.0,1.93,95.23809523809524,Indiana,5192520.0
Elfrid Payton,Orlando Magic,4.0,PG,22.0,1.93,83.90022675736961,Louisiana-Lafayette,2505720.0
Jason Smith,Orlando Magic,14.0,PF,30.0,2.133,108.84353741496598,Colorado State,4300000.0
Nikola Vucevic,Orlando Magic,9.0,C,25.0,2.133,117.91383219954648,USC,11250000.0
C.J. Watson,Orlando Magic,32.0,PG,32.0,1.88,79.36507936507937,Tennessee,5000000.0
Alan Anderson,Washington Wizards,6.0,SG,33.0,1.981,99.77324263038548,Michigan State,4000000.0
Bradley Beal,Washington Wizards,3.0,SG,22.0,1.956,93.87755102040816,Florida,5694674.0
Jared Dudley,Washington Wizards,1.0,SF,30.0,2.007,102.0408163265306,Boston College,4375000.0
Jarell Eddie,Washington Wizards,8.0,SG,24.0,2.007,98.86621315192744,Virginia Tech,561716.0
Drew Gooden,Washington Wizards,90.0,PF,34.0,2.083,113.37868480725623,Kansas,3300000.0
JJ Hickson,Washington Wizards,21.0,C,27.0,2.057,109.75056689342404,North Carolina State,273038.0
Markieff Morris,Washington Wizards,5.0,PF,26.0,2.083,111.11111111111111,Kansas,8000000.0
Kelly Oubre Jr.,Washington Wizards,12.0,SF,20.0,2.007,92.9705215419501,Kansas,1920240.0
Otto Porter Jr.,Washington Wizards,22.0,SF,23.0,2.032,89.79591836734694,Georgetown,4662960.0
Ramon Sessions,Washington Wizards,7.0,PG,30.0,1.905,86.16780045351473,Nevada,2170465.0
Garrett Temple,Washington Wizards,17.0,SG,30.0,1.981,88.43537414965986,LSU,1100602.0
Marcus Thornton,Washington Wizards,15.0,SF,29.0,1.93,92.9705215419501,LSU,200600.0
John Wall,Washington Wizards,2.0,PG,25.0,1.93,88.43537414965986,Kentucky,15851950.0
Darrell Arthur,Denver Nuggets,0.0,PF,28.0,2.057,106.57596371882086,Kansas,2814000.0
D.J. Augustin,Denver Nuggets,12.0,PG,28.0,1.829,82.99319727891157,Texas,3000000.0
Will Barton,Denver Nuggets,5.0,SF,25.0,1.981,79.36507936507937,Memphis,3533333.0
Wilson Chandler,Denver Nuggets,21.0,SF,29.0,2.032,102.0408163265306,DePaul,10449438.0
Kenneth Faried,Denver Nuggets,35.0,PF,26.0,2.032,103.40136054421768,Morehead State,11235955.0
Gary Harris,Denver Nuggets,14.0,SG,21.0,1.93,95.23809523809524,Michigan State,1584480.0
Mike Miller,Denver Nuggets,3.0,SG,36.0,2.032,98.86621315192744,Florida,947276.0
Jameer Nelson,Denver Nuggets,1.0,PG,34.0,1.829,86.16780045351473,Saint Joseph's,4345000.0
JaKarr Sampson,Denver Nuggets,9.0,SG,23.0,2.057,97.05215419501134,St. John's,258489.0
Gorgui Dieng,Minnesota Timberwolves,5.0,C,26.0,2.108,109.29705215419501,Louisville,1474440.0
Tyus Jones,Minnesota Timberwolves,1.0,PG,20.0,1.88,88.43537414965986,Duke,1282080.0
Zach LaVine,Minnesota Timberwolves,8.0,PG,21.0,1.956,85.71428571428571,UCLA,2148360.0
Shabazz Muhammad,Minnesota Timberwolves,15.0,SF,23.0,1.981,101.13378684807256,UCLA,2056920.0
Adreian Payne,Minnesota Timberwolves,33.0,PF,25.0,2.083,107.4829931972789,Michigan State,1938840.0
Tayshaun Prince,Minnesota Timberwolves,12.0,SF,36.0,2.057,96.14512471655328,Kentucky,947276.0
Karl-Anthony Towns,Minnesota Timberwolves,32.0,C,20.0,2.133,110.65759637188208,Kentucky,5703600.0
Andrew Wiggins,Minnesota Timberwolves,22.0,SG,21.0,2.032,90.24943310657596,Kansas,5758680.0
Steven Adams,Oklahoma City Thunder,12.0,C,22.0,2.133,115.64625850340136,Pittsburgh,2279040.0
Nick Collison,Oklahoma City Thunder,4.0,PF,35.0,2.083,115.64625850340136,Kansas,3750000.0
Kevin Durant,Oklahoma City Thunder,35.0,SF,27.0,2.057,108.84353741496598,Texas,20158622.0
Randy Foye,Oklahoma City Thunder,6.0,SG,32.0,1.93,96.5986394557823,Villanova,3135000.0
Josh Huestis,Oklahoma City Thunder,34.0,SF,24.0,2.007,104.30839002267574,Stanford,1140240.0
Enes Kanter,Oklahoma City Thunder,11.0,C,24.0,2.108,111.11111111111111,Kentucky,16407500.0
Mitch McGary,Oklahoma City Thunder,33.0,PF,24.0,2.083,115.64625850340136,Michigan,1463040.0
Nazr Mohammed,Oklahoma City Thunder,13.0,C,38.0,2.083,113.37868480725623,Kentucky,222888.0
Anthony Morrow,Oklahoma City Thunder,2.0,SG,30.0,1.956,95.23809523809524,Georgia Tech,3344000.0
Cameron Payne,Oklahoma City Thunder,22.0,PG,21.0,1.905,83.90022675736961,Murray State,2021520.0
Andre Roberson,Oklahoma City Thunder,21.0,SG,24.0,2.007,95.23809523809524,Colorado,1210800.0
Kyle Singler,Oklahoma City Thunder,5.0,SF,28.0,2.032,103.40136054421768,Duke,4500000.0
Dion Waiters,Oklahoma City Thunder,3.0,SG,24.0,1.93,99.77324263038548,Syracuse,5138430.0
Russell Westbrook,Oklahoma City Thunder,0.0,PG,27.0,1.905,90.70294784580499,UCLA,16744218.0
Cliff Alexander,Portland Trail Blazers,34.0,PF,20.0,2.032,108.84353741496598,Kansas,525093.0
Al-Farouq Aminu,Portland Trail Blazers,8.0,SF,25.0,2.057,97.50566893424036,Wake Forest,8042895.0
Pat Connaughton,Portland Trail Blazers,5.0,SG,23.0,1.956,93.42403628117914,Notre Dame,625093.0
Allen Crabbe,Portland Trail Blazers,23.0,SG,24.0,1.981,95.23809523809524,California,947276.0
Ed Davis,Portland Trail Blazers,17.0,C,27.0,2.083,108.84353741496598,North Carolina,6980802.0
Maurice Harkless,Portland Trail Blazers,4.0,SF,23.0,2.057,97.50566893424036,St. John's,2894059.0
Gerald Henderson,Portland Trail Blazers,9.0,SG,28.0,1.956,97.50566893424036,Duke,6000000.0
Chris Kaman,Portland Trail Blazers,35.0,C,34.0,2.133,120.18140589569161,Central Michigan,5016000.0
Meyers Leonard,Portland Trail Blazers,11.0,PF,24.0,2.159,111.11111111111111,Illinois,3075880.0
Damian Lillard,Portland Trail Blazers,0.0,PG,25.0,1.905,88.43537414965986,Weber State,4236287.0
C.J. McCollum,Portland Trail Blazers,3.0,SG,24.0,1.93,90.70294784580499,Lehigh,2525160.0
Luis Montero,Portland Trail Blazers,44.0,SG,23.0,2.007,83.90022675736961,Westchester CC,525093.0
Mason Plumlee,Portland Trail Blazers,24.0,C,26.0,2.108,106.57596371882086,Duke,1415520.0
Brian Roberts,Portland Trail Blazers,2.0,PG,30.0,1.854,78.45804988662131,Dayton,2854940.0
Noah Vonleh,Portland Trail Blazers,21.0,PF,20.0,2.057,108.84353741496598,Indiana,2637720.0
Trevor Booker,Utah Jazz,33.0,PF,28.0,2.032,103.40136054421768,Clemson,4775000.0
Trey Burke,Utah Jazz,3.0,PG,23.0,1.854,86.62131519274377,Michigan,2658240.0
Alec Burks,Utah Jazz,10.0,SG,24.0,1.981,97.05215419501134,Colorado,9463484.0
Derrick Favors,Utah Jazz,15.0,PF,24.0,2.083,120.18140589569161,Georgia Tech,12000000.0
Gordon Hayward,Utah Jazz,20.0,SF,26.0,2.032,102.49433106575964,Butler,15409570.0
Rodney Hood,Utah Jazz,5.0,SG,23.0,2.032,93.42403628117914,Duke,1348440.0
Chris Johnson,Utah Jazz,23.0,SF,26.0,1.981,93.42403628117914,Dayton,981348.0
Trey Lyles,Utah Jazz,41.0,PF,20.0,2.083,106.12244897959184,Kentucky,2239800.0
Shelvin Mack,Utah Jazz,8.0,PG,26.0,1.905,92.06349206349206,Butler,2433333.0
Jeff Withey,Utah Jazz,24.0,C,26.0,2.133,104.76190476190476,Kansas,947276.0
